Stock,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,TodayDiff,PercentageChange,Average Price,Total Traded Quantity,Turnover,No of Trades,Deliverable Qty,Dly Qt to Traded Qty,status
1,11/09/17,3622.55,3628,3659.9,3590,3601,3597.75,-24.8,-0.685,3615.33,241249,872194707.2,16213,93833,38.89,3
1,11/10/17,3597.75,3605,3635,3560.75,3631.95,3605.1,7.35,0.204,3592.21,307029,1102911730,25062,176998,57.65,3
1,11/13/17,3605.1,3639,3639,3569,3581,3579.9,-25.2,-0.699,3587.42,230714,827669116.7,24905,133549,57.89,3
1,11/14/17,3579.9,3579.9,3662.4,3579.9,3655,3655.2,75.3,2.103,3638.82,430968,1568214879,54148,244232,56.67,2
1,11/15/17,3655.2,3650.5,3709.4,3640,3672.45,3671.8,16.6,0.454,3679.12,413595,1521667313,33362,254781,61.6,3
1,11/16/17,3671.8,3672,3688.95,3625.25,3662,3657,-14.8,-0.403,3665.26,252451,925297477.5,29646,128716,50.99,3
1,11/17/17,3657,3693.6,3697,3622.5,3628,3631.15,-25.85,-0.707,3652.18,338039,1234580740,30728,221161,65.42,3
1,11/20/17,3631.15,3632.4,3689,3618,3661.45,3658.6,27.45,0.756,3653.99,350045,1279060679,45497,248281,70.93,3
1,11/21/17,3658.6,3665.1,3690.5,3664.9,3679,3678.75,20.15,0.551,3680.65,202939,746947330.4,20030,130539,64.32,3
1,11/22/17,3678.75,3685.1,3710,3645.2,3661.8,3661.3,-17.45,-0.474,3676.33,293485,1078947106,51637,212294,72.34,3
1,11/23/17,3661.3,3685,3698.35,3645.5,3680,3677.35,16.05,0.438,3680.22,219012,806012735.5,15146,127253,58.1,3
1,11/24/17,3677.35,3689.4,3690.15,3650,3656.5,3653.25,-24.1,-0.655,3676.01,388730,1428976277,23031,315236,81.09,3
1,11/27/17,3653.25,3651.15,3670,3631.05,3662.9,3663,9.75,0.267,3646.75,172252,628159625.8,20362,79678,46.26,3
1,11/28/17,3663,3680,3680,3655.1,3675,3673.6,10.6,0.289,3668.27,155386,569998518.1,22595,85673,55.14,3
1,11/29/17,3673.6,3683,3695,3649,3650,3656.3,-17.3,-0.471,3668.14,172201,631657134.7,18545,97563,56.66,3
1,11/30/17,3656.3,3649,3678,3621,3645,3633.65,-22.65,-0.619,3643.51,456685,1663935768,37575,288256,63.12,3
